temperature,smoke,gas,humidity,label
22,60,80,58,normal
24,80,120,55,normal
20,50,90,60,normal
23,70,100,57,normal
25,90,110,54,normal
21,55,85,59,normal
26,75,95,56,normal
19,45,75,62,normal
27,85,105,53,normal
28,95,115,52,normal
30,100,130,50,normal
18,40,70,63,normal
29,88,108,51,normal
31,92,118,49,normal
17,35,65,64,normal
32,98,125,48,normal
33,105,135,47,normal
16,30,60,65,normal
34,110,140,46,normal
35,115,145,45,normal
22,65,88,60,normal
24,78,115,56,normal
20,52,82,61,normal
26,72,98,55,normal
28,88,112,52,normal
30,96,128,50,normal
32,102,132,48,normal
19,48,78,62,normal
21,58,92,58,normal
23,68,102,57,normal
25,82,118,54,normal
27,80,108,53,normal
29,90,122,51,normal
31,94,124,49,normal
33,108,138,47,normal
20,44,72,63,normal
22,62,90,59,normal
24,74,112,56,normal
26,76,100,55,normal
28,92,120,52,normal
45,280,310,42,suspect
48,340,300,40,suspect
50,380,350,38,suspect
47,310,320,41,suspect
52,400,370,37,suspect
46,290,295,43,suspect
53,420,380,36,suspect
49,360,340,39,suspect
55,450,400,35,suspect
44,260,280,44,suspect
51,390,360,38,suspect
57,480,420,34,suspect
43,250,270,45,suspect
54,430,390,36,suspect
56,460,410,35,suspect
58,490,430,33,suspect
42,240,260,46,suspect
59,500,440,32,suspect
60,510,450,31,suspect
41,230,250,47,suspect
45,270,285,43,suspect
48,330,305,41,suspect
50,370,345,39,suspect
52,410,375,37,suspect
47,300,315,42,suspect
49,355,335,40,suspect
53,415,382,36,suspect
55,442,395,35,suspect
44,255,275,44,suspect
46,285,290,43,suspect
57,475,415,34,suspect
51,385,355,38,suspect
59,495,435,32,suspect
60,505,445,31,suspect
58,485,425,33,suspect
43,245,265,45,suspect
42,235,255,46,suspect
56,455,405,35,suspect
54,425,385,37,suspect
50,365,342,39,suspect
72,780,660,24,danger
75,820,700,22,danger
78,850,720,20,danger
80,870,740,19,danger
85,900,760,18,danger
70,760,640,25,danger
82,880,750,18,danger
88,930,780,16,danger
90,950,800,15,danger
68,740,620,26,danger
86,910,770,17,danger
92,960,810,14,danger
67,730,610,27,danger
84,895,755,18,danger
94,970,820,13,danger
96,980,830,12,danger
65,710,590,28,danger
98,990,840,11,danger
100,1000,850,10,danger
63,700,580,29,danger
73,790,670,23,danger
76,830,710,21,danger
79,860,730,20,danger
81,875,745,19,danger
83,890,752,18,danger
87,920,775,16,danger
89,940,790,15,danger
91,955,805,14,danger
69,750,630,26,danger
71,770,650,25,danger
93,965,815,13,danger
85,905,762,17,danger
97,985,835,11,danger
99,995,845,10,danger
95,975,825,12,danger
66,720,600,28,danger
64,705,585,29,danger
95,972,822,12,danger
82,882,748,18,danger
78,848,718,21,danger
